numFingers,firstStroke,secondStroke,key
1,northwest,west,Q
1,northwest,northwest,W
1,northwest,north,E
1,northwest,center,R
1,north,northwest,T
1,north,north,Y
1,north,northeast,U
1,northeast,center,I
1,northeast,northeast,O
1,northeast,east,P
1,west,northwest,A
1,west,north,S
1,west,center,D
1,center,west,F
1,center,center,G
1,center,east,H
1,east,center,J
1,east,north,K
1,east,northeast,L
1,southwest,west,Z
1,southwest,southwest,X
1,southwest,center,C
1,southeast,southwest,V
1,southeast,center,B
1,southeast,southeast,N
1,southeast,east,M
